serie1,serie2,best_pearson,best_spearman,best_kendall,lag_pearson,lag_spearman,lag_kendall
CL=F.PctChange,ORCL.PctChange,-0.1715092716750165,0.13421516614277676,0.09183268237655327,-23,0,0
CL=F.PctChange,CRM.PctChange,-0.15317508898271867,0.07263071418253934,0.04923571778308862,74,0,0
CL=F.PctChange,JPM.PctChange,0.19441514129771956,0.19266798943988622,0.13195299490484505,0,0,0
CL=F.PctChange,BAC.PctChange,0.19290962092681688,0.20327377579768327,0.1393734736792337,0,0,0
CL=F.PctChange,WFC.PctChange,0.16560044251540554,0.16643997242338865,0.11451997188924046,0,0,0
CL=F.PctChange,GS.PctChange,0.19892142322891693,0.19348277716619644,0.1322808378259165,0,0,0
CL=F.PctChange,MS.PctChange,0.1995985492427909,0.19619126315867894,0.13410209030491907,0,0,0
CL=F.PctChange,V.PctChange,0.15155598402946469,0.12865882164818013,0.08814120300527499,-18,0,0
CL=F.PctChange,MA.PctChange,0.16980137196256875,0.13857651631743384,0.09517346570528616,0,0,0
CL=F.PctChange,AXP.PctChange,-0.16848503442268342,0.17010513101117103,0.11709413073204623,116,0,0
CL=F.PctChange,UNH.PctChange,0.14837603109819184,0.0932911280278535,0.06309866374661983,-22,0,0
CL=F.PctChange,JNJ.PctChange,0.14293064632856187,-0.07189465285755096,0.04842208465761087,-18,120,120
CL=F.PctChange,PFE.PctChange,-0.09741896536275875,0.07687347546275515,0.05139504088876497,-23,-29,-29
CL=F.PctChange,MRK.PctChange,0.14718300739385728,0.08723165483462181,0.05934055469832122,-22,0,0
CL=F.PctChange,ABBV.PctChange,0.1699466798774758,0.0999316575168685,0.06741683644463119,-177,0,0
CL=F.PctChange,TMO.PctChange,0.11913365133004712,0.08462300415317014,0.05770816398427198,-18,0,0
CL=F.PctChange,XOM.PctChange,0.37666982603875454,0.4965928863801402,0.3518547427849804,0,0,0
CL=F.PctChange,CVX.PctChange,0.3781829746063658,0.4979810209443869,0.3552010391812127,0,0,0
CL=F.PctChange,COP.PctChange,0.43535128525352856,0.5631132290550703,0.40478086398070773,0,0,0
CL=F.PctChange,SLB.PctChange,0.3969560548446711,0.5156150211214741,0.3650969904271976,0,0,0
CL=F.PctChange,AMZN.PctChange,0.09385435287849336,0.08482798381556952,0.05748120533489023,0,0,0
CL=F.PctChange,TSLA.PctChange,0.10822559714349564,0.10837457247960412,0.07300562197911353,0,0,0
CL=F.PctChange,WMT.PctChange,-0.1106819507009135,0.0595866296002728,0.040199354021049884,-21,108,108
CL=F.PctChange,HD.PctChange,0.15775409650352917,0.07839577105050882,0.053216154129615965,-22,0,0
CL=F.PctChange,PG.PctChange,0.13768091500508095,0.06379169888604165,0.04247708543891934,-24,108,108
CL=F.PctChange,KO.PctChange,0.12993070949481295,0.06978666318215927,0.04692674302111866,0,0,0
CL=F.PctChange,MCD.PctChange,0.1780727399696387,-0.05061913285826054,0.03431871797727645,-18,145,-18
CL=F.PctChange,COST.PctChange,-0.12355229208902431,-0.06339572206773235,0.042228139346987825,-32,-152,-152
CL=F.PctChange,TGT.PctChange,-0.10950306950359791,0.08840864408686434,0.0601282694086489,-89,0,0
CL=F.PctChange,GE.PctChange,0.14155323208546883,0.1970542623487365,0.1349298659878295,0,0,0
CL=F.PctChange,HON.PctChange,0.17659762597330003,0.17769191256165623,0.12165441476328243,0,0,0
CL=F.PctChange,CAT.PctChange,0.2558700955630269,0.3108224577361985,0.2150675304362843,0,0,0
CL=F.PctChange,UPS.PctChange,-0.1325016283128919,0.11544537071691106,0.07856837459970588,56,0,0
CL=F.PctChange,DE.PctChange,0.19112688298578245,0.23014580214347397,0.15744974271683243,0,0,0
CL=F.PctChange,NEE.PctChange,-0.1465056538154178,-0.055205288613450476,0.036954503806539335,-17,103,103
CL=F.PctChange,DUK.PctChange,-0.17003652890929774,-0.05726326130413197,0.039468519873157006,-21,-3,-3
CL=F.PctChange,PLD.PctChange,0.16040792060159553,0.07282357696975719,0.04980821654048589,-22,0,0
CL=F.PctChange,AMT.PctChange,0.16204121190932372,0.05594816411383917,0.03765876838551833,-22,128,-66
BZ=F.PctChange,NG=F.PctChange,0.07654647373851732,0.0823918866843405,0.05603369123171143,0,0,0
BZ=F.PctChange,HG=F.PctChange,0.28911141485178754,0.26891846366836275,0.18340268710349283,0,0,0
BZ=F.PctChange,ZW=F.PctChange,0.10257636204828205,0.0969759964426121,0.06498109582227118,0,0,0
BZ=F.PctChange,ZC=F.PctChange,0.13471919241567,0.12210188739892991,0.08157716625512483,0,0,0
BZ=F.PctChange,ZS=F.PctChange,0.17840626333163112,0.1750314743271193,0.11789857481218441,0,0,0
BZ=F.PctChange,^GSPC.PctChange,0.27046397303582825,0.21588825705747902,0.14904821927629805,0,0,0
BZ=F.PctChange,^IXIC.PctChange,0.2069925272072798,0.1534194972868835,0.10508579973304136,0,0,0
BZ=F.PctChange,^DJI.PctChange,0.2819674471849093,0.2250378462027902,0.15570197861292898,0,0,0
BZ=F.PctChange,^RUT.PctChange,0.2661444263282784,0.22769977426867982,0.15722057619105925,0,0,0
BZ=F.PctChange,^N225.PctChange,0.1047755022144867,0.09003721243548793,0.060690871346984164,1,1,1
BZ=F.PctChange,^FTSE.PctChange,0.2843560578508574,0.22620353811510244,0.15548295571711887,0,0,0
BZ=F.PctChange,^GDAXI.PctChange,0.18446798507189635,0.13701813634731655,0.09325216094435088,0,0,0
BZ=F.PctChange,^STOXX50E.PctChange,0.21700760969167765,0.17042826325216967,0.11678371428654775,0,0,0
BZ=F.PctChange,^HSI.PctChange,0.14040585046134335,0.0994573140168615,0.06753037960089994,0,0,0
BZ=F.PctChange,^BVSP.PctChange,0.2680653534186159,0.22819037802008463,0.15474339458700576,0,0,0
BZ=F.PctChange,DX-Y.NYB.PctChange,-0.07823481207903724,-0.10596115734577191,0.07224057455700458,0,0,0
